id,icon_link,name
1,https://cdn-icons-png.flaticon.com/128/1384/1384739.png,Air sports
2,https://cdn-icons-png.flaticon.com/128/17153/17153990.png,Airsoft
3,,Amateur geology
4,,Amusement park visiting
5,https://cdn-icons-png.flaticon.com/128/2827/2827022.png,Archery
6,https://cdn-icons-png.flaticon.com/128/4856/4856365.png,Auto detailing
7,https://cdn-icons-png.flaticon.com/128/3626/3626927.png,Automobilism
8,https://cdn-icons-png.flaticon.com/128/1283/1283488.png,Astronomy
9,https://cdn-icons-png.flaticon.com/128/18466/18466148.png,Backpacking
10,https://cdn-icons-png.flaticon.com/128/2633/2633871.png,Badminton
11,https://cdn-icons-png.flaticon.com/128/17873/17873801.png,BASE jumping
12,https://cdn-icons-png.flaticon.com/128/18660/18660622.png,Baseball
13,https://cdn-icons-png.flaticon.com/128/18660/18660626.png,Basketball
14,,Beachcombing
15,https://cdn-icons-png.flaticon.com/128/5493/5493038.png,Beekeeping
16,https://cdn-icons-png.flaticon.com/128/6105/6105166.png,Birdwatching
17,https://cdn-icons-png.flaticon.com/128/3943/3943605.png,Blacksmithing
18,https://cdn-icons-png.flaticon.com/128/2503/2503373.png,BMX
19,https://cdn-icons-png.flaticon.com/128/7469/7469316.png,Board sports
20,https://cdn-icons-png.flaticon.com/128/6669/6669674.png,Bodybuilding
21,https://cdn-icons-png.flaticon.com/128/16932/16932136.png,Bus riding
22,https://cdn-icons-png.flaticon.com/128/1020/1020535.png,Camping
23,https://cdn-icons-png.flaticon.com/128/3639/3639633.png,Canoeing
24,https://cdn-icons-png.flaticon.com/128/11145/11145653.png,Canyoning
25,https://cdn-icons-png.flaticon.com/128/3664/3664321.png,Carrier pigeons
26,https://cdn-icons-png.flaticon.com/128/15764/15764597.png,Car riding
27,https://cdn-icons-png.flaticon.com/128/4750/4750986.png,Car tuning
28,https://cdn-icons-png.flaticon.com/128/1059/1059496.png,Caving
29,https://cdn-icons-png.flaticon.com/128/2603/2603724.png,City trip
30,https://cdn-icons-png.flaticon.com/128/1142/1142682.png,Climbing
31,https://cdn-icons-png.flaticon.com/128/4660/4660792.png,Composting
32,https://cdn-icons-png.flaticon.com/128/6037/6037905.png,Croquet
33,https://cdn-icons-png.flaticon.com/128/2926/2926927.png,Cycling
34,https://cdn-icons-png.flaticon.com/128/3024/3024313.png,Dairy Farming
35,,Dandyism
36,https://cdn-icons-png.flaticon.com/128/3176/3176382.png,Darts
37,https://cdn-icons-png.flaticon.com/128/3490/3490955.png,Dodgeball
38,https://cdn-icons-png.flaticon.com/128/3048/3048404.png,Dog training
39,https://cdn-icons-png.flaticon.com/128/3827/3827181.png,Dog walking
40,,Dowsing
41,https://cdn-icons-png.flaticon.com/128/3410/3410350.png,Driving
42,https://cdn-icons-png.flaticon.com/128/5341/5341391.png,Farming
43,https://cdn-icons-png.flaticon.com/128/1886/1886614.png,Fishing
44,https://cdn-icons-png.flaticon.com/128/9192/9192640.png,Flag football
45,https://cdn-icons-png.flaticon.com/128/1906/1906867.png,Flower growing
46,https://cdn-icons-png.flaticon.com/128/2849/2849905.png,Flying
47,https://cdn-icons-png.flaticon.com/128/14022/14022075.png,Flying disc
48,,Flying model planes
49,https://cdn-icons-png.flaticon.com/128/459/459829.png,Foraging
50,,Fossicking
51,https://cdn-icons-png.flaticon.com/128/984/984261.png,Freestyle football
52,https://cdn-icons-png.flaticon.com/128/15049/15049387.png,Fruit picking
53,https://cdn-icons-png.flaticon.com/128/18633/18633365.png,Gardening
54,https://cdn-icons-png.flaticon.com/128/854/854878.png,Geocaching
55,https://cdn-icons-png.flaticon.com/128/1752/1752803.png,Ghost hunting
56,,Gold prospecting
57,https://cdn-icons-png.flaticon.com/128/2919/2919758.png,Graffiti
58,,Groundhopping
59,https://cdn-icons-png.flaticon.com/128/10434/10434480.png,Guerrilla gardening
60,https://cdn-icons-png.flaticon.com/128/1803/1803373.png,Gymnastics
61,https://cdn-icons-png.flaticon.com/128/6836/6836853.png,Handball
62,https://cdn-icons-png.flaticon.com/128/2382/2382579.png,Herbalism
63,https://cdn-icons-png.flaticon.com/128/7350/7350791.png,Herping
64,,High-power rocketry
65,https://cdn-icons-png.flaticon.com/128/1974/1974052.png,Hiking
66,https://cdn-icons-png.flaticon.com/128/10809/10809204.png,Hobby tunneling
67,https://cdn-icons-png.flaticon.com/128/11698/11698839.png,Hooping
68,https://cdn-icons-png.flaticon.com/128/16932/16932218.png,Horseback riding
69,https://cdn-icons-png.flaticon.com/128/784/784387.png,Hunting
70,https://cdn-icons-png.flaticon.com/128/17696/17696853.png,Inline skating
71,https://cdn-icons-png.flaticon.com/128/7411/7411535.png,Jogging
72,https://cdn-icons-png.flaticon.com/128/2133/2133878.png,Jumping rope
73,https://cdn-icons-png.flaticon.com/128/1506/1506345.png,Karting
74,https://cdn-icons-png.flaticon.com/128/3087/3087201.png,Kayaking
75,https://cdn-icons-png.flaticon.com/128/2228/2228452.png,Kite flying
76,https://cdn-icons-png.flaticon.com/128/16438/16438096.png,Kitesurfing
